effect,effect_label,flip_label,K,prompt_template,n_records,n_models,n_prompts,n_contexts,n_proposals,mean_score_delta,median_score_delta,mean_rank_delta,median_rank_delta,mean_rank_delta_if_harmed,p_any_rank_loss,p_any_rank_gain,p_exit_unconditional,p_exit_given_funded_base
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,6,prompt_B,1280.0,8.0,,4.0,40.0,-0.0346875,0.0,1.609375,0.0,11.310030395136778,0.25703125,0.140625,0.0515625,0.34375
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,6,prompt_C,1280.0,8.0,,4.0,40.0,-0.027343749999999993,0.0,1.46171875,0.0,12.2875,0.25,0.15234375,0.06328125,0.421875
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,7,prompt_A,1280.0,8.0,,4.0,40.0,-0.06695312499999999,0.0,3.3140625,0.0,12.397291196388261,0.34609375,0.1,0.08203125,0.46875
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,7,prompt_B,1280.0,8.0,,4.0,40.0,-0.0346875,0.0,1.609375,0.0,11.310030395136778,0.25703125,0.140625,0.05390625,0.3080357142857143
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,7,prompt_C,1280.0,8.0,,4.0,40.0,-0.027343749999999993,0.0,1.46171875,0.0,12.2875,0.25,0.15234375,0.07265625,0.41517857142857145
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,8,prompt_A,1280.0,8.0,,4.0,40.0,-0.06695312499999999,0.0,3.3140625,0.0,12.397291196388261,0.34609375,0.1,0.08515625,0.42578125
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,8,prompt_B,1280.0,8.0,,4.0,40.0,-0.0346875,0.0,1.609375,0.0,11.310030395136778,0.25703125,0.140625,0.06015625,0.30078125
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,8,prompt_C,1280.0,8.0,,4.0,40.0,-0.027343749999999993,0.0,1.46171875,0.0,12.2875,0.25,0.15234375,0.07890625,0.39453125
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,9,prompt_A,1280.0,8.0,,4.0,40.0,-0.06695312499999999,0.0,3.3140625,0.0,12.397291196388261,0.34609375,0.1,0.09609375,0.4270833333333333
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,9,prompt_B,1280.0,8.0,,4.0,40.0,-0.0346875,0.0,1.609375,0.0,11.310030395136778,0.25703125,0.140625,0.0640625,0.2847222222222222
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,9,prompt_C,1280.0,8.0,,4.0,40.0,-0.027343749999999993,0.0,1.46171875,0.0,12.2875,0.25,0.15234375,0.08203125,0.3645833333333333
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,10,prompt_A,1280.0,8.0,,4.0,40.0,-0.06695312499999999,0.0,3.3140625,0.0,12.397291196388261,0.34609375,0.1,0.10625,0.425
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,10,prompt_B,1280.0,8.0,,4.0,40.0,-0.0346875,0.0,1.609375,0.0,11.310030395136778,0.25703125,0.140625,0.0703125,0.28125
