effect,effect_label,flip_label,K,model,n_records,n_models,n_prompts,n_contexts,n_proposals,mean_score_delta,median_score_delta,mean_rank_delta,median_rank_delta,mean_rank_delta_if_harmed,p_any_rank_loss,p_any_rank_gain,p_exit_unconditional,p_exit_given_funded_base
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,8,mistral,480.0,,3.0,4.0,40.0,-0.02354166666666665,0.0,1.5895833333333333,0.0,11.784810126582279,0.32916666666666666,0.21666666666666667,0.08125,0.40625
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,8,phi,480.0,,3.0,4.0,40.0,-0.03770833333333334,0.0,1.68125,0.0,16.0609756097561,0.17083333333333334,0.08541666666666667,0.04791666666666667,0.23958333333333334
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,9,deepseek,480.0,,3.0,4.0,40.0,-0.03958333333333333,0.0,1.3770833333333334,0.0,9.305555555555555,0.45,0.32708333333333334,0.09375,0.4166666666666667
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,9,gemma,480.0,,3.0,4.0,40.0,-0.033749999999999995,0.0,1.3375,0.0,15.41304347826087,0.09583333333333334,0.0125,0.035416666666666666,0.1574074074074074
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,9,glm,480.0,,3.0,4.0,40.0,-0.07312500000000001,0.0,3.877083333333333,0.0,11.746606334841628,0.46041666666666664,0.15833333333333333,0.11666666666666667,0.5185185185185185
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,9,gpt,480.0,,3.0,4.0,40.0,-0.023333333333333334,0.0,1.21875,0.0,12.72,0.20833333333333334,0.12916666666666668,0.0625,0.2777777777777778
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,9,kimi,480.0,,3.0,4.0,40.0,-0.07020833333333333,0.0,4.28125,0.0,11.31578947368421,0.475,0.11875,0.13541666666666666,0.6018518518518519
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,9,ministral,480.0,,3.0,4.0,40.0,-0.042708333333333334,0.0,1.6645833333333333,0.0,19.48780487804878,0.08541666666666667,0.0,0.06041666666666667,0.26851851851851855
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,9,mistral,480.0,,3.0,4.0,40.0,-0.02354166666666665,0.0,1.5895833333333333,0.0,11.784810126582279,0.32916666666666666,0.21666666666666667,0.09375,0.4166666666666667
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,9,phi,480.0,,3.0,4.0,40.0,-0.03770833333333334,0.0,1.68125,0.0,16.0609756097561,0.17083333333333334,0.08541666666666667,0.04791666666666667,0.21296296296296297
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,10,deepseek,480.0,,3.0,4.0,40.0,-0.03958333333333333,0.0,1.3770833333333334,0.0,9.305555555555555,0.45,0.32708333333333334,0.10416666666666667,0.4166666666666667
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,10,gemma,480.0,,3.0,4.0,40.0,-0.033749999999999995,0.0,1.3375,0.0,15.41304347826087,0.09583333333333334,0.0125,0.0375,0.15
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,10,glm,480.0,,3.0,4.0,40.0,-0.07312500000000001,0.0,3.877083333333333,0.0,11.746606334841628,0.46041666666666664,0.15833333333333333,0.13125,0.525
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,10,gpt,480.0,,3.0,4.0,40.0,-0.023333333333333334,0.0,1.21875,0.0,12.72,0.20833333333333334,0.12916666666666668,0.06666666666666667,0.26666666666666666
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,10,kimi,480.0,,3.0,4.0,40.0,-0.07020833333333333,0.0,4.28125,0.0,11.31578947368421,0.475,0.11875,0.15,0.6
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,10,ministral,480.0,,3.0,4.0,40.0,-0.042708333333333334,0.0,1.6645833333333333,0.0,19.48780487804878,0.08541666666666667,0.0,0.06458333333333334,0.25833333333333336
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,10,mistral,480.0,,3.0,4.0,40.0,-0.02354166666666665,0.0,1.5895833333333333,0.0,11.784810126582279,0.32916666666666666,0.21666666666666667,0.10416666666666667,0.4166666666666667
pi_inst_tier,Institute: Top-tier → Low-tier,TOP_I -> LOW_I,10,phi,480.0,,3.0,4.0,40.0,-0.03770833333333334,0.0,1.68125,0.0,16.0609756097561,0.17083333333333334,0.08541666666666667,0.04791666666666667,0.19166666666666668
