effect,effect_label,flip_label,K,model,n_records,n_models,n_prompts,n_contexts,n_proposals,mean_score_delta,median_score_delta,mean_rank_delta,median_rank_delta,mean_rank_delta_if_harmed,p_any_rank_loss,p_any_rank_gain,p_exit_unconditional,p_exit_given_funded_base
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,6,phi,120.0,,3.0,1.0,40.0,-0.05416666666666667,0.0,2.325,0.0,19.294117647058822,0.14166666666666666,0.03333333333333333,0.025,0.16666666666666666
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,7,deepseek,120.0,,3.0,1.0,40.0,-0.04750000000000001,0.0,2.0083333333333333,0.0,8.53448275862069,0.48333333333333334,0.325,0.041666666666666664,0.23809523809523808
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,7,gemma,120.0,,3.0,1.0,40.0,-0.06749999999999999,0.0,2.175,0.0,14.31578947368421,0.15833333333333333,0.008333333333333333,0.03333333333333333,0.19047619047619047
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,7,glm,120.0,,3.0,1.0,40.0,-0.07083333333333336,-0.09999999999999964,5.075,0.5,11.033333333333333,0.5,0.08333333333333333,0.10833333333333334,0.6190476190476191
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,7,gpt,120.0,,3.0,1.0,40.0,-0.06833333333333333,0.0,4.125,0.0,12.75,0.3333333333333333,0.03333333333333333,0.09166666666666666,0.5238095238095238
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,7,kimi,120.0,,3.0,1.0,40.0,-0.08499999999999999,-0.10000000000000009,5.808333333333334,5.0,11.782608695652174,0.575,0.13333333333333333,0.15,0.8571428571428571
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,7,ministral,120.0,,3.0,1.0,40.0,-0.0625,0.0,2.6083333333333334,0.0,20.866666666666667,0.125,0.0,0.11666666666666667,0.6666666666666666
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,7,mistral,120.0,,3.0,1.0,40.0,-0.04083333333333334,0.0,3.816666666666667,0.0,12.196078431372548,0.425,0.15833333333333333,0.11666666666666667,0.6666666666666666
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,7,phi,120.0,,3.0,1.0,40.0,-0.05416666666666667,0.0,2.325,0.0,19.294117647058822,0.14166666666666666,0.03333333333333333,0.041666666666666664,0.23809523809523808
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,8,deepseek,120.0,,3.0,1.0,40.0,-0.04750000000000001,0.0,2.0083333333333333,0.0,8.53448275862069,0.48333333333333334,0.325,0.05,0.25
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,8,gemma,120.0,,3.0,1.0,40.0,-0.06749999999999999,0.0,2.175,0.0,14.31578947368421,0.15833333333333333,0.008333333333333333,0.041666666666666664,0.20833333333333334
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,8,glm,120.0,,3.0,1.0,40.0,-0.07083333333333336,-0.09999999999999964,5.075,0.5,11.033333333333333,0.5,0.08333333333333333,0.10833333333333334,0.5416666666666666
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,8,gpt,120.0,,3.0,1.0,40.0,-0.06833333333333333,0.0,4.125,0.0,12.75,0.3333333333333333,0.03333333333333333,0.09166666666666666,0.4583333333333333
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,8,kimi,120.0,,3.0,1.0,40.0,-0.08499999999999999,-0.10000000000000009,5.808333333333334,5.0,11.782608695652174,0.575,0.13333333333333333,0.15,0.75
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,8,ministral,120.0,,3.0,1.0,40.0,-0.0625,0.0,2.6083333333333334,0.0,20.866666666666667,0.125,0.0,0.125,0.625
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,8,mistral,120.0,,3.0,1.0,40.0,-0.04083333333333334,0.0,3.816666666666667,0.0,12.196078431372548,0.425,0.15833333333333333,0.13333333333333333,0.6666666666666666
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,8,phi,120.0,,3.0,1.0,40.0,-0.05416666666666667,0.0,2.325,0.0,19.294117647058822,0.14166666666666666,0.03333333333333333,0.05,0.25
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,9,deepseek,120.0,,3.0,1.0,40.0,-0.04750000000000001,0.0,2.0083333333333333,0.0,8.53448275862069,0.48333333333333334,0.325,0.06666666666666667,0.2962962962962963
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,9,gemma,120.0,,3.0,1.0,40.0,-0.06749999999999999,0.0,2.175,0.0,14.31578947368421,0.15833333333333333,0.008333333333333333,0.025,0.1111111111111111
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,9,glm,120.0,,3.0,1.0,40.0,-0.07083333333333336,-0.09999999999999964,5.075,0.5,11.033333333333333,0.5,0.08333333333333333,0.08333333333333333,0.37037037037037035
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,9,gpt,120.0,,3.0,1.0,40.0,-0.06833333333333333,0.0,4.125,0.0,12.75,0.3333333333333333,0.03333333333333333,0.10833333333333334,0.48148148148148145
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,9,kimi,120.0,,3.0,1.0,40.0,-0.08499999999999999,-0.10000000000000009,5.808333333333334,5.0,11.782608695652174,0.575,0.13333333333333333,0.175,0.7777777777777778
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,9,ministral,120.0,,3.0,1.0,40.0,-0.0625,0.0,2.6083333333333334,0.0,20.866666666666667,0.125,0.0,0.125,0.5555555555555556
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,9,mistral,120.0,,3.0,1.0,40.0,-0.04083333333333334,0.0,3.816666666666667,0.0,12.196078431372548,0.425,0.15833333333333333,0.14166666666666666,0.6296296296296297
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,9,phi,120.0,,3.0,1.0,40.0,-0.05416666666666667,0.0,2.325,0.0,19.294117647058822,0.14166666666666666,0.03333333333333333,0.058333333333333334,0.25925925925925924
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,10,deepseek,120.0,,3.0,1.0,40.0,-0.04750000000000001,0.0,2.0083333333333333,0.0,8.53448275862069,0.48333333333333334,0.325,0.08333333333333333,0.3333333333333333
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,10,gemma,120.0,,3.0,1.0,40.0,-0.06749999999999999,0.0,2.175,0.0,14.31578947368421,0.15833333333333333,0.008333333333333333,0.016666666666666666,0.06666666666666667
ai_flag,AI usage: No → Yes,AI_N -> AI_Y,10,glm,120.0,,3.0,1.0,40.0,-0.07083333333333336,-0.09999999999999964,5.075,0.5,11.033333333333333,0.5,0.08333333333333333,0.10833333333333334,0.43333333333333335
