question_id,contrast_label,contrast_group,n_obs,n_texts,n_models,n_prompts,estimate,se,z_value,p_value,ci_low,ci_high,converged,p_value_holm,stars,stars_holm
q06,Male (name),PI_NAME,960,40,8,3,-0.11190104166666762,0.009190945249685008,-12.175139621303119,4.216719026359418e-34,-0.12991496333992972,-0.0938871199934055,True,2.5300314158156507e-33,***,***
q06,Female (name),PI_NAME,960,40,8,3,-0.0941666666666676,0.009190945249685008,-10.245591079970245,1.2386544412306587e-24,-0.11218058833992972,-0.07615274499340549,True,6.193272206153293e-24,***,***
q06,Low-tier (inst.),PI_INST,960,40,8,3,-0.12453125000000098,0.009190945249685008,-13.549340858522568,7.994477416721312e-42,-0.14254517167326308,-0.10651732832673887,True,5.596134191704918e-41,***,***
q06,Top-tier (inst.),PI_INST,960,40,8,3,-0.08153645833333427,0.009190945249685008,-8.871389842750798,7.223858463079469e-19,-0.09955038000659638,-0.06352253666007215,True,2.8895433852317876e-18,***,***
q06,Lower (profile),PI_BIB,960,40,8,3,-0.1875260416666677,0.00919094524968501,-20.403346616942862,1.5615420143699566e-92,-0.2055399633399298,-0.1695121199934056,True,1.2492336114959653e-91,***,***
q06,Higher (profile),PI_BIB,960,40,8,3,-0.018541666666667563,0.00919094524968501,-2.017384084330501,0.043655446879363395,-0.036555588339929675,-0.0005277449934054518,True,0.08731089375872679,*,
q06,Yes (AI),AI,960,40,8,3,-0.05281250000000092,0.009190945249685008,-5.746144554806364,9.130126085582464e-09,-0.07082642167326303,-0.03479857832673881,True,2.739037825674739e-08,***,***
q06,No (AI),AI,960,40,8,3,0.009270833333332486,0.009190945249685008,1.0086920421651098,0.313122349427299,-0.008743088339929626,0.027284755006594597,True,0.313122349427299,,
