question_id,n_cells,mean_within_cell_sd,median_within_cell_sd,p95_within_cell_sd,max_within_cell_sd,pct_zero_sd,mean_n_runs,min_n_runs,max_n_runs
q01,10560,0.029412082435274853,0.0,0.273861278752583,0.8660254037844386,88.55113636363636,5.0,5,5
q02,10560,0.0224035409355009,0.0,0.22360679774997902,0.447213595499958,90.95643939393939,5.0,5,5
q03,10560,0.07788169456001079,0.0,0.27386127875258315,0.7582875444051551,70.77651515151516,5.0,5,5
q04,10560,0.07073783321700078,0.0,0.2738612787525831,0.8944271909999159,72.5284090909091,5.0,5,5
q05,10560,0.11125418966130592,0.0,0.447213595499958,1.414213562373095,67.41477272727273,5.0,5,5
q06,10560,0.09217994938676288,0.0,0.27386127875258315,0.8944271909999159,65.3503787878788,5.0,5,5
