pair_label,n_proposals,observed_mean_diff,bootstrap_ci_low,bootstrap_ci_high,bootstrap_p05,bootstrap_p95,n_bootstrap
Low-tier (inst.) - Top-tier (inst.),40,-0.042994791666666664,-0.05072916666666667,-0.035494140625000004,-0.049401041666666666,-0.03669270833333334,10000
Lower (profile) - Higher (profile),40,-0.168984375,-0.18369791666666666,-0.1550520833333333,-0.18124999999999997,-0.1573177083333333,10000
Male (name) - Female (name),40,-0.017734375,-0.023229817708333336,-0.01260416666666667,-0.022291666666666664,-0.01330729166666667,10000
Yes (AI) - No (AI),40,-0.06208333333333334,-0.07531249999999998,-0.04937499999999999,-0.07302083333333334,-0.05135416666666666,10000
