question_id,pair_label,left_label,right_label,n_obs,n_texts,n_models,n_prompts,estimate,se,z_value,p_value,ci_low,ci_high,converged,p_value_holm,stars,stars_holm
q06,Low-tier (inst.) - Top-tier (inst.),Low-tier (inst.),Top-tier (inst.),960,40,8,3,-0.042994791666666664,0.004209504882976079,-10.213740775202467,1.7209910529319425e-24,-0.051245269630045276,-0.03474431370328805,True,5.1629731587958276e-24,***,***
q06,Lower (profile) - Higher (profile),Lower (profile),Higher (profile),960,40,8,3,-0.16898437499999994,0.007651118281373584,-22.086232206262878,4.2869610717481285e-108,-0.18398029127294815,-0.15398845872705172,True,1.7147844286992514e-107,***,***
q06,Male (name) - Female (name),Male (name),Female (name),960,40,8,3,-0.01773437499999999,0.004320678454646742,-4.104534782246357,4.0512931734527396e-05,-0.026202749159885783,-0.009266000840114199,False,4.0512931734527396e-05,***,***
q06,Yes (AI) - No (AI),Yes (AI),No (AI),960,40,8,3,-0.062083333333333345,0.010039752739207698,-6.183751228342776,6.259598655404797e-10,-0.08176088711586779,-0.042405779550798904,False,1.2519197310809594e-09,***,***
